iter	Passed	Remaining
0	1	1673
1	3	1541
2	4	1482
3	5	1447
4	7	1429
5	8	1416
6	9	1412
7	11	1402
8	12	1394
9	14	1388
10	15	1382
11	16	1379
12	18	1376
13	19	1371
14	20	1367
15	22	1363
16	23	1362
17	24	1358
18	26	1356
19	27	1352
20	28	1348
21	30	1351
22	31	1349
23	33	1346
24	34	1344
25	35	1340
26	37	1339
27	38	1334
28	39	1331
29	41	1327
30	42	1323
31	43	1319
32	44	1317
33	46	1314
34	47	1309
35	48	1305
36	50	1303
37	51	1300
38	52	1298
39	53	1294
40	55	1292
41	56	1290
42	57	1287
43	59	1284
44	60	1281
45	61	1278
46	62	1275
47	64	1274
48	65	1271
49	66	1269
50	68	1266
51	69	1263
52	70	1261
53	71	1258
54	73	1255
55	74	1252
56	75	1250
57	76	1248
58	78	1246
59	79	1244
60	80	1242
61	82	1241
62	83	1239
63	84	1238
64	85	1236
65	87	1235
66	88	1233
67	89	1231
68	91	1230
69	92	1228
70	93	1226
71	94	1224
72	96	1222
73	97	1222
74	99	1221
75	100	1219
76	101	1217
77	102	1215
78	104	1214
79	105	1212
80	106	1210
81	107	1208
82	109	1207
83	110	1205
84	111	1203
85	113	1202
86	114	1200
87	115	1199
88	117	1199
89	118	1197
90	119	1195
91	121	1194
92	122	1193
93	123	1192
94	125	1191
95	126	1189
96	127	1187
97	128	1186
98	130	1187
99	131	1186
100	133	1185
101	134	1184
102	135	1182
103	137	1181
104	138	1180
105	139	1179
106	141	1177
107	142	1175
108	143	1174
109	145	1173
110	146	1172
111	147	1171
112	149	1169
113	150	1167
114	151	1166
115	152	1164
116	154	1163
117	155	1161
118	156	1159
119	158	1159
120	159	1157
121	160	1155
122	161	1153
123	163	1152
124	164	1151
125	165	1150
126	167	1149
127	168	1147
128	169	1145
129	171	1144
130	172	1143
131	173	1142
132	175	1141
133	176	1140
134	177	1139
135	179	1137
136	180	1136
137	181	1135
138	182	1133
139	184	1132
140	185	1130
141	186	1129
142	188	1127
143	189	1126
144	190	1125
145	192	1124
146	193	1123
147	194	1121
148	196	1120
149	197	1118
150	198	1117
151	200	1116
152	201	1114
153	202	1113
154	203	1111
155	205	1110
156	206	1109
157	207	1108
158	209	1106
159	210	1105
160	211	1104
161	213	1102
162	214	1101
163	215	1099
164	217	1099
165	218	1098
166	219	1096
167	221	1095
168	222	1093
169	223	1092
170	224	1090
171	226	1089
172	227	1088
173	228	1086
174	230	1085
175	231	1083
176	232	1082
177	234	1081
178	235	1079
179	236	1078
180	238	1077
181	239	1075
182	240	1074
183	241	1072
184	243	1071
185	244	1070
186	245	1068
187	247	1067
188	248	1066
189	249	1065
190	251	1063
